Chain,LargestBlockBytes,PeakTxPerBlock,TypicalFeeUSD,ArchitectureTradeoff
BSV,4000000000,7126502,0.0000002-0.000006,Unbounded L1 capacity
BTC,1700000,8000,0.09-0.45,Limited L1; Lightning L2 required
ETH_L1,2000000,272,0.50-5+,Gas-limited L1; 139 L2s required for scale
Solana,N/A,530,<0.01,Fast but 7.5% failure rate; 70% vote overhead
